term,definition
Risk exposure,Risk is the possibility that an investor will receive a return that is less than their initial investment. Risk exposure is a measure of the amount of potential risk an investor has assumed by making a particular investment.
Risk financing,"It determines how a business will pay for unforeseen or unexpected losses in the most cost effective way possible. It entails identifying potential risks, establishing how those risks would be financed if they happen, and keeping track of the chosen financing technique's effectiveness."
Risk free asset,"Although all investments carry some degree of risk, the term risk free is used to describe assets that are considered to be sufficiently safe that investors can be reasonably certain in expecting a return on their investment that is similar to the return predicted."
Risk Management,"Looking for a risk management definition? Risk management is the process of identifying potential risks in your investment portfolio, and taking steps to mitigate accordingly. This requires knowledge both of the different types of financial risk, and of the tools that are available to calculate and assess them."
Risk management in Indian banks,Risk management is a relatively new practice in the Indian banking sector. It began in 1999 when the Reserve Bank of India (RBI) issued guidelines on it. Risk management in Indian banks has already been proved to have increased efficiency in this emerging economy.
Risk measure,"Risk measures are statistical tools and formulae that assess the risk involved in potential investments. They are a core part of Modern Portfolio Theory (MPT), the standard methodology used by financial and academic institutions when assessing the performance of an investment."
Risk metric,"A risk metric is used when calculating the risk of an investment. It is a quantifiable concept used in risk measure formulae. In this context, the measure is the method or formula being used, and the metric is that which is being measured or quantified."
Risk of ruin,The probability of an investor losing all his or her investment capital without the chance of recovery. It's calculated using the probability of making a return on investment (ROI) with that of making a loss and the proportion of an investor's capital that's at stake.
Risk parity,It is an approach to portfolio management strategy that is based around targeting levels of risk and equally dividing that risk across an investor's entire portfolio. This is done to achieve optimal portfolio risk diversification for individual investors.
Risk pool,"A form of risk management usually practised by insurance companies to mitigate risk. Insurance companies come together to form a common pool, itself used as protection for the companies against catastrophic events, usually natural disasters. They are also used by government agencies for similar purposes."
Risk score,It is a number that measures the risk involved with investing in a certain company. It's a measure of volatility that is linked in the UK to the FTSE 100. Risk scores comprise a company's credit history and expected future performance.
Risk Tolerance,"All investments involve a degree of risk: there's always a possibility of loss as well as profit. Before you invest, you need to understand how much risk you are comfortable with. This is known as your risk tolerance."
Risk transformation,"Risk transformation processes expand upon the traditional view of risk management within a financial institution. Taking a more holistic view, risk transformation implements risk management capabilities together with regulatory and business objectives. It views risk management as a strategic asset to be embedded across a firm, not just a corporate function."
Risk vs Reward Ratio,"Investors accept risk because they believe the reward is worth it. The balance between the amount investors could lose, compared with the amount they could gain, is calculated as the risk vs reward ratio."
Risk-adjusted return on capital,Risk-adjusted return on capital (RAROC) is a metric that can be used to calculate return in relation to the level of risk taken on. It can be used to compare the performance of multiple investments with differing levels of risk exposure. It is calculated by dividing expected return by risk.
Risk-free bond,"A risk-free bond refers to a bond issued by an entity that’s considered absolutely certain to pay back both its principal and interest, with no risk of default. Generally, bonds issued by governments of sovereign developed nations, such us U.S. Treasury bonds, are considered to be risk-free."
Risk-free interest rate,"The risk-free interest rate is the rate of interest paid on the least risky financial instruments, normally considered to be the shortest-dated risk-free bond. For instance, in the U.S. the risk-free interest rate is generally assumed to be that paid on a three-month Treasury bill."
Risk-neutral measure,"The risk-neutral measure is a probability metric widely used in quantitative financial mathematics to price derivatives and other financial instruments. It assumes that the present value of a derivative is equal to its expected future value discounted at the risk-free rate, generally that of three-month U.S. Treasury bills."
Risk-On Risk-Off,The definition of risk-on-risk-off (RORO) is that it's an investment setting in which price behaviour responds to and is driven by changes in investor risk tolerance.
Risk-weighted asset,"Risk-weighted assets (RWAs) are a way of measuring a bank’s assets according to their different levels of risk. Safe mortgages, speculative loans and holdings in complex derivatives will all carry a different risk weighting. Every holding in the bank’s portfolio is measured, and the resulting blended figure is its risk-weighted assets."
RiskLab,RiskLab is an international partnership of laboratories that undertake research in risk management in the financial markets. It is a partnership between university research divisions and private financial institutions and develops not only original academic research but also financial software and financial consulting projects across the globe.
RiskMetrics,"RiskMetrics Group LLC is a company specialising in providing risk management tools that allow financial institutions to measure their market risk in real time. The product became an industry standard in the early 2000s, but its reliance on Value-at-Risk (VaR) modelling came under scrutiny following the 2008 financial crisis."
RNPV (Risk-adjust net present value),RNPV (Risk-adjust net present value) is a tool that adjusts a regular net present value (NPV) calculation to account for additional risks. As the NPV calculation discounts the future value of an asset or cash flow to give a discounted cash flow (DCF) RNPV effectively risk-adjusts the discount rate.
Robber Baron,"What is the meaning of the term ‘robber baron’? In finance, robber barons are defined as businesses or executives who gained their wealth through unethical means, and often holds a negative connotation.

The term ‘robber baron’ dates back to feudal lords (barons) in the Middle Ages who robbed passing travellers and was later used in American newspapers in the mid-19th century. Its modern usage stems from Matthew Josephson’s The Robber Barons: The Great American Capitalists 1861–1901, which used the term to refer to industrialists."
Robustness,It's an attribute of financial markets where they continue to perform as expected despite the change of certain parameters in an economic model of that market. It means that a model of a market works even as conditions change beyond the original ones.
Roll-up (merger),It's often a merger of two or more smaller companies in the same industry or a related industry by an investor to make the larger company more resilient to market forces and to take advantage of economies of scale.
Round lot,"It's shares of a security in a trading order that numbers 100 or multiples of 100, such as 1800 or 2300. A round lot on an exchange is the normal trading unit. It is used for convenience when trading large amounts of shares."
Roy's safety-first criterion,It's a technique to manage the difference in risk between one investment option and another. It's a criterion based on minimizing the lowest return expected from a certain portfolio compared with another one.
Royal Bounty Fund,"It was a charitable fund set up by Edmund Burke in his 1782 Civil List Act for the relief of those in distress and for ""miscellaneous confidential purposes"". Some of it was used to help pay for the wedding of Prince Charles to Princess Diana."
RTS index,"A stock index attached to the Moscow Exchange in Russia. The Russia Trading System Index (RTSI), to give it its full name, includes 50 of the most liquid Russian stocks listed on the Moscow Exchange. It's calculated in real time and is denominated in dollars."
Rule of Thumb,"A rule of thumb is a general, simplified principle to help guide your investments. For example, always save 5% of your earnings to use in case of an emergency. The phrase is often said to come from an English legal ruling that allowed a man to beat his wife with a stick so long as it was no thicker than his thumb. This is thought to be untrue, and instead the phrase derives from one of the numerous ways that thumbs have been used to estimate things over human history, such as temperature of beer, judging alignment or distance of an object."
Russell 2000,"A stock index that's made up of the small-cap 2,000 companies in the wider Russell 3000 Index, and also known as SmallCap 2000. Operated by FTSE Russell, the index is free-float and capitalisation weighted. Its members account for around 8% of the Russell 3000's total market capitalisation."
Russell Indexes,The Russell indexes are a group of global equity indices run by FTSE Russell. They are used by investors as equity benchmarks and they allow investors to follow the performance of specific market segments around the world. There are a number of exchange-traded funds and mutual funds based on the Russell indexes.
S&P 500,"They are, by some measure, the top 500 quoted companies in the United States. The S&P 500 take their name from the S&P 500 index of which they are constituents. The companies are chosen by economists at Standard's & Poor, the credit rating agency."
S&P 500 VIX index,The VIX Index – or Volatility Index measures how volatile the S&P 500 Index is. It judges the expectations of the stock market over the following 30-day period.
S&P Midcap 400,"The S&P MidCap 400 is a stock market index that gives investors a benchmark for mid-sized companies in the United States valued at between USD 1.6 billion and USD 6.8 billion. Together with the large-cap S&P 500 and the S&P SmallCap 600, the index constitutes the S&P Composite 1500."
S&P Midcap 400/BARRA Growth,"The S&P MidCap 400/Barra Growth is a stock market index that gives investors a benchmark for mid-sized companies in the United States valued at between USD 1.6 billion and USD 6.8 billion, that are also defined as being in the growth sector due to their higher price-to-book ratio."
S&P Midcap 400/BARRA Value,"The S&P MidCap 400/Barra Value is a stock market index that gives investors a benchmark for mid-sized companies in the United States valued at between $1.6 billion and $6.8 billion, that are also defined as being in the ‘value’ sector due to their lower price-to-book ratio."
S&P SmallCap 600,"The S&P SmallCap 600 is a stock market index that gives investors a benchmark for small-sized companies in the United States valued at between USD 450 million and USD 2.1 billion. Together with the large-cap S&P 500 and the S&P MidCap 400, the index constitutes the S&P Composite 1500."
S&P SmallCap 600/BARRA Growth,"The S&P SmallCap 600/Barra Growth is a stock market index that gives investors a benchmark for small-sized companies in the United States valued at between $450 million and $2.1 billion, that are also defined as being in the growth sector due to their higher price-to-book ratio."
S&P SmallCap 600/BARRA Value,"The S&P SmallCap 600/Barra Value is a stock market index that gives investors a benchmark for small-sized companies in the United States valued at between $450 million and $2.1 billion, that are also defined as being in the value sector due to their lower price-to-book ratio."
S&P Vietnam 10 Index,"The S&P Vietnam 10 Index was a stock market index from Standard & Poors that provided investors with a narrow exposure to the ten largest and most liquid companies in Vietnam. Launching in 2008, the index soon became obsolete as investors required a broader market exposure, and was eventually delisted."
S&P/ASX 200 index,"This index is the benchmark for the Australian stock market. It covers around 80% of the country's equity market capitalization, with companies drawn from the Australian Securities Exchange."
S&P/ASX 300,"The S&P/ASX 300 is a stock market index managed jointly by Standard & Poors and the Australian Stock Exchange. It gives investors a benchmark for Australian companies with market capitalisations above AUD 100 million. It contains small, mid and large cap firms and includes approximately 80% of all Australian equities."
S&P/Case-Shiller Home Price,The S&P/Case-Shiller Home Price Indices are a key measure of US house prices. Here we take a look at the S&P/Case-Shiller Home Price Indices definition…
S&P/TSX index,"The S&P/TSX index is Canada's benchmarking index for its equity market. With about 250 companies listed, it covers around 70% of the market capitalisation on the Toronto Stock Exchange. It is also known as the S&P/TSX composite index."
S&P/TSX Venture Composite Index,The S&P/TSX Venture Composite Index is a stock market index managed jointly by Standard & Poors and the Toronto Stock Exchange. It gives investors a broad indicator of the performance of Canadian micro cap companies listed on the Toronto Venture Exchange with a strong bias toward the materials sector.
Safe Asset,Safe assets refer to low-risk assets that can weather market volatility. The word itself justifies what safe asset means.
Safe Haven,“Safe haven” is a very versatile term that could have multiple meanings depending on the context in which it is used.
Sales density,"Sales density is a term used most commonly in retailing. It refers to a way of measuring performance, and is calculated by looking at the revenue generated by a particularly specified area of sales space within a store. This is then used to assign a monetary value per square metre."
Same-day affirmation,"Same-day affirmation, also commonly known as SDA or T0, is a term used in trading to describe when the full trade verification process is completed on the same day that the trade took place, thus completing a large part of the trading process within a single day."
Sampling,"Sampling is the process or technique of selecting a subset of a larger group to assess the group’s characteristics. Getting information from a huge data set might take a long time, so sampling data is a faster way to get equivalent results."
Sampling Error,A sampling error is a statistical error that occurs when a sample used in a study does not represent the entire population. These errors occur often in the process of sampling which is analysing a selective number of observations from a larger population.
Samurai Bond,What are the ways foreign companies can access Japan’s debt capital market? Non-Japanese companies can issue Samurai bonds in Japan and obtain funds for their businesses. Read on for an explanation of Samurai bonds.
Santa Claus rally,The Santa Claus rally is when there is a rise in the price of stocks during the last five trading days in December and the first two trading days in January.
Savings,"Savings represent funds available to spend now but instead put aside for future use. In economics jargon, savings represent 'deferred consumption'. In modern societies, savings usually attract a rate of interest, which is ultimately paid by those who have borrowed the money, usually from the bank in which the savings are stored."
Savings account,A savings account is an account where you deposit money with a bank or other financial institution that pays you a small amount of interest while you leave the money with them.
SBF 120,"The SBF 120 definition refers to a French stock market index. Also known as Société des Bourses Françaises 120 Index, it is based on the 120 most actively traded French stocks listed on the Euronext exchange."
SBF 250,"The SBF 250 (an abbreviation of the Société des Bourses Françaises) is a French equity index. The index covers all aspects of the French economy, from science and technology to transport and energy, and is calculated and run by NYSE Euronext Paris. The index was launched on 28 December 1990."
Scheduled Recast,"Before getting to know the meaning of scheduled recast, it is important to know that this term refers to the process of a mortgage – a loan sanctioned by banks for people looking to buy a house."
Schufa,"Schufa Holding AG is a private credit bureau based in Hessen, Germany. The company is supported by creditors, and is recognised as Germany's leading information and service partner to industry and consumers. At present, Schufa has around 479 million records on approximately 66.2 million people – around three quarters of the population in Germany."
Scrip issue,A scrip issue is an offer of free shares to current owners of a company's stock. It’s a way for firms to save cash but still provide an income to shareholders as an alternative to paying a dividend.
SD (credit rating),"A credit rating that can be given to a company by Standard & Poor's, if it's deemed to have selectively defaulted on certain financial obligations but is still likely to meet its other commitments in good time."
SDAX (Small Cap),"The SDAX is a stock market index that gives investors a benchmark for companies in Germany ranked between the 81st and 130th largest by market capitalisation. Together with the large-cap DAX and the MDAX (MidCap), the index constitutes the Prime All Share index of companies on the Frankfurt Stock Exchange."
Seasoned equity offering,A seasoned equity offering is when additional shares or bonds are offered for sale by an existing publicly traded company. It's usually made by an established business whose securities already trade on the secondary market.
Secondary Market,"A secondary market is one where investors can trade financial products with other investors. It works like a second-hand market, in that investors buy and sell used – rather than new – stock, bonds, options or futures."
Secondary market offering,"Also called a secondary distribution, it's the sale of a large block of shares that has previously been offered to the public. The shares will generally have been held by institutional investors since an initial public offering."
Secondary shares,"They’re a company’s shares that are already being traded on a stock market rather than those that are newly issued, which are known as primary shares. The proceeds of a sale go to other investors rather than the company that issued the stock."
Sector indices,These indices give summaries and benchmarking data certain sectors or industries. It allows investors to track a stock against specific sectors.
Securities and Exchange Commission (SEC),"In researching which companies to invest your money in, have you ever come across references to the SEC and wondered: what does the SEC stand for? The Securities and Exchange Commission (SEC) is an independent agency of the US federal government. It was created at the height of the Great Depression in 1934, to protect US investors and maintain market transparency."
Securities fraud,"Securities fraud is a white-collar crime which covers a wide range of illegal activities mainly involving the misrepresentation of information, deception of investors or manipulation of markets. Securities fraud is also known as investment fraud or stock fraud."
Securities market,"A financial securities market is a marketplace where various securities such as stocks, bonds, and derivatives are bought and sold by individuals and organisations."
Securities market participants,"They are the corporations, governments, people and organisations that issue, buy, sell, regulate, record, facilitate the trading of or store securities. They include brokers, exchanges, regulators, investors and banks."
Securities offering,A securities offering can sometimes be known as a funding or investment round and it is where businesses attempt to raise money to fund operations or expansion of their enterprise.
Security agreement,This is the document that confirms that a lender has a security interest in a loan against a specific item or collateral.
Security Analysis,"It is valuing the assets, debts, warrants and equity of companies from the prospective of an outside investor using publicly available information. Security analysts also try to calculate the effect of market fluctuations on the value of securities."
Security interest,"Security interest is the legal claim a lender places on the collateral against which a loan is raised, to ensure that a borrower continues making repayments on the loan."
Sell-Off,"A market sell-off takes place when investors get rid of large volumes of an asset quickly. The sell-off definition refers to a period of time when selling activity prevails over buying, pushing the price of an asset down."
Selling climax,"A selling climax is the culmination of a protracted period of selling of a stock, characterised by a sharp fall in price alongside increased volume. It is often the result of forced margin selling by individual investors. The climax is often followed by marked move higher once the selling is over."
Semiconductors,Semiconductors are an essential part of today’s electronics and information technology sectors as it is used in thousands of modern devices. Here we take a look at the semiconductor definition.
Sensitivity Analysis,"Sensitivity analysis attempts to predict the effect of a decision on a range of variables. It is sometimes called ""what-if"" analysis and studies how changes in one variable affect the other variables."
Sentiment Trading,"Sentiment trading or sentiment analysis is a method that some traders use to try to gain an advantage about what to buy or sell, by reading the signals about how other investors are feeling about a particular market or stock."
Sentimental,"In an investment context, being sentimental means using emotions in making investment decisions. This can manifest itself in both individual investment decisions and in the wider investment community - where it is then known as market sentiment."
Sentimental value,"Sentimental value is how much worth is placed on an item without properly taking into account its monetary value. For example, photographs usually cost very little, but their sentimental value can be priceless. The value is emotional, not logical."
Sesame Credit,"Sesame Credit is a Chinese social credit-scoring service developed by Ant Financial, part of the Alibaba family of companies that also includes Alipay, a third-party payment app with 350 million users. Users with higher scores can access a range of benefits including VIP reservations with hotels and car rental companies."
SET Index,It’s a composite index that brings together the prices of all stocks trading on the Stock Exchange of Thailand. Excluded are stocks that have been suspended from trade for more than a year.
SET100 Index,"The SET100 Index is a stock market index which gives investors a broad benchmark of investment in the Stock Exchange of Thailand. The top 100 stocks ranked by average daily market capitalisation constitute the index, the top 50 of which also appear in the narrower SET50 Index."
SET50 Index,The SET50 Index is a stock market index which gives investors a narrow benchmark of investment in the Stock Exchange of Thailand. The top 50 companies ranked by average daily market capitalisation constitute the index. These 50 stocks also appear in the broader SET100 Index.
SETHD Index,"The SETHD Index is a stock market index which gives investors a narrow benchmark of the performance of high dividend stocks traded on the Stock Exchange of Thailand. The top 30 stocks ranked by dividend yield constitute the index, and must also be part of the broad SET100 Index."
Settlement date,This is the date on which a trade is settled. On this day stock or other investments are transferred to the buyer's account and cash to the seller's account.
Shadow banking system,"The shadow banking system is comprised of financial institutions which perform the same roles as traditional banks but which are subject to minimal, if any, regulation. Like traditional banks, shadow banks, such as hedge funds, provide credit and liquidity but they do not have access to central bank funding."
Shadow stock,"A shadow stock, or phantom stock, is a synthetic equity used by U.S. companies as an employee benefit. It grants the employee a right to receive compensation based on the value of the company’s listed stock. If the firm’s shares aren’t listed, the benefit plan specifies how the shadow stock is valued."
Shanghai index,"Also known as the Shanghai Stock Exchange Composite Index, this index measures the value of all stocks (A-shares and B-shares) traded on the Shanghai Stock Exchange."
Shanghai Stock Exchange,"The Shanghai Stock Exchange (SSE) is China's largest mainland stock exchange and the fifth largest in the world. The market trades stocks, funds and bonds from companies that have been in business and profitable for three years. Run by the China Securities Regulatory Commission (CSRC), the Shanghai Stock Exchange is a nonprofit organisation."
Shape risk,Companies try to plan to ensure they have lower the risk that they don't have enough or have to pay too much for energy to deliver the products or services their clients want through hedging.
Sharding,"Sharding is a database partitioning method used by blockchain firms to improve scalability and spread workload, allowing them to process more transactions per second."
Share,"A share is a unit of ownership of a company. In order for a public company to raise money, it can sell shares to investors, who then become equity shareholders in the business."
Share buyback,"A share buyback, also known as a stock repurchase, occurs when a firm buys its own stock either directly from shareholders or on the open market. The company then usually retires the stock, reducing the number of shares in circulation. The buyback is a way of returning surplus cash to shareholders."
Share purchase issue,"It is when a company announces it will gives current shareholders the right to buy a certain number of its shares at a set price, usually at a discount."
Shared Appreciation Mortgage,"Buying your own house is a dream for many people. Most can afford houses only by way of borrowing through mortgages. A mortgage essentially allows the buyer to purchase the property without having to pay all the money up front. Marketed as a proposition for the asset rich but cash poor, a shared appreciation mortgage works in a similar way to a traditional mortgage but with certain key differences."
Shareholder,"Looking for a shareholder definition? Anyone who owns at least one share in a business or company is a shareholder. A controlling shareholder owns more than half of a company's shares, while a minority shareholder owns fewer than half."
Shareholder Equity,"A shareholder is a person who owns shares or equity in a company. This means they reap the benefits when things are good, but will be the last to be compensated if things go wrong."
Sharpe Ratio,It's a technique to gauge the return on an investment by adjusting for risk. Nobel laureate William F. Sharpe developed the ratio in 1966 and revised it in 1994. It was originally called the reward-to-variability ratio.
Shelf registration,"A shelf registration is U.S. practice whereby a firm can register a new share issue up to two years before a public offering. Usually there is no present intention by the company to sell the shares being registered, but the registration enables the issuer to act quickly when market conditions are optimal."
Shenzhen Stock Exchange,"Shenzhen Stock Exchange (SZSE) is one of the three main stock exchanges operated in China. As the name suggests, the exchange is found in the city of Shenzhen."
Short Position,"Looking for a short position definition? This is an investment or trading technique commonly used when an investor believes the value of a stock is about to drop. First, the investor borrows stock from a broker and then sells it on the market. Later on, they buy the stock back and return it to the broker. If the price of the stock has dropped, the investor makes a profit."
Short selling,"Short selling is a popular way of making a profit from securities going down in value. This strategy is also known as “going short”, “selling short” or “shorting” and is usually undertaken by experienced traders and investors."
Short squeeze,"A short squeeze means that the price of a heavily-shorted asset has jumped unexpectedly forcing short sellers to cut losses and exit their positions, which in turn leads to a rise in the price."
Short-Term Gain,Short-term gain means a capital gain or a profit from the sales of personal assets or investments held for one year or less.
Short-term investment fund,"A short-term investment fund (STIF) is a type of fund that typically holds low-risk assets with short-dated maturities. The primary function of the fund is preservation of capital although a moderate return is normally achieved. STIFs normally invest in assets such as U.S. Treasury bills, notes and bonds."
Short-term rating,"A type of credit rating given to a company or sovereign state, indicating the likelihood of defaulting on their debt within one year. This type of rating tells investors how likely a borrower is to meet all of its short-term debt obligations."
Shrinkflation,The definition of “shrinkflation” was first coined by British economist Pippa Malmgren in 2009 to explain the process of diminishing a product’s size while maintaining its price.
Silk Route,"Due to advances and innovations in technology and transportation, globalisation has accelerated in the past few decades. As citizens of the 21st century, we enjoy food, clothes and many other things imported from countries geographically distant from us. To define the Silk Route, we have to travel back to the second century, when trade and exchange of goods and services between different countries was far less simple."
Silver exchange-traded product,"A silver exchange-traded product is a type of security that aims to track the price of silver. These include exchange-traded funds (ETFs), exchange-traded notes (ETNs) and closed-end funds (CEFs), which can be traded on major stock exchanges."
Silver Parachute,A silver parachute is a compensation package paid to low level executives or senior managers if they are made redundant as a result of a merger or acquisition.
Simple Interest Bi-Weekly Mortgage,A simple interest bi-weekly mortgage is a type of repayment method for a mortgage loan.
Single-loss expectancy (SLE),Single-loss expectancy (SLE) refers to the expected monetary loss each time an asset is at risk. It’s a term that’s most commonly used during risk assessment and attempts to put a monetary value on each single threat.
Single-tranche CDO,"Single-tranche CDO is a type of collateralised debt obligation deal that can be customised to an investor's preferences. It involves the sale of one tranche to an investor, which is a single portion of debt or structured financing."
SITRA,"SITRA is Finland’s innovation fund, and aims to increase the nation’s competitiveness on the world stage, ensuring well-being and prosperity for Finnish citizens. It operates independently from the government and brings together networks of legislators, researchers, businesses and NGOs to conduct trials, provide training and develop preconditions for reform."
Six Sigma Certification,"Are you interested in learning more about quality-management methods and how to get a Six Sigma certification? Read on for an explanation on the methodology, the training and certification levels."
SIX Swiss Exchange,"The main stock exchange in the country of Switzerland. Based in Zurich, the exchange allows for the trading of government bonds and derivatives, as well as stocks."
Size indices,"They are stock indices which only include companies of a particular size, e.g. large-cap, mid-cap, or small-cap businesses for global or regional markets. They're built around the fact that many investors favour companies of a certain size."
Slippage,"Slippage is the difference between the price a trader expected to pay or receive and the actual price they paid or received because the market moved while their trade was being executed. This can happen even when trading online, in the split second it takes between an order being given and received."
Slush fund,"A slush fund is an unregulated fund used at the discretion of someone in a position of power, such as a senior executive or elected official. It’s sometimes called a “black fund” and is usually kept separate from other funds. The presence of a slush fund usually implies dishonest or fraudulent use of money for personal gain."
SmallCap 2000 index,Another name given to the Russell 2000 by investors.
Smaller reporting company,A smaller reporting company (SRC) is the smallest category of a business that must report to the Securities and Exchange Commission (SEC) annually under the Securities Exchange Act of 1934.
Smart Contracts,"A smart contract can be defined as a computerised transaction protocol which automatically executes the terms of a contract when certain conditions are met. Stored within a blockchain such as Ethereum, smart contracts allow for the contract to be executed without the need for intermediaries or human intervention, minimising fraud losses, arbitration and enforcement costs, and malicious and accidental exceptions."
Social dividend,"A social dividend is the return on capital assets that are owned by society in a socialist economy. In a socialist economy profits are distributed equally among citizens in the form of dividends, and can be used to provide a basic income for all."
Social earnings ratio,Social earnings ratio (S/E) is a metric used to measure the social impact of an organisation. This non-financial ratio concentrates on measuring sentiment and converting it into financial value.
Social Enterprise Investment Fund,The Social Enterprise Investment Fund (SEIF) provided investment for social enterprises that delivered frontline health and social care services in the UK.
Social Impact Statement,"A social impact statement, also known as a corporate social responsibility (CSR) statement, is a report issued by a company that describes the steps it has taken to address the impact of its operations on the communities in which it operates. It also describes its plans to improve its operations to meet social and environmental standards."
Social return on investment,"Social return on investment, more commonly known as SROI, is a method of measuring and accounting for forms of value that are not solely based on traditional financial accounts. This can include social, cultural and environmental factors, and accounts for the ways our actions and activities can create and destroy value."
Social trading,"Social trading is a method where an online investor may lean on user-found financial content gathered from different internet sites as their main source of information for making strategies and financial choices. This allows investors to analyse financial data by comparing and copying trades and techniques, amongst other things."
Socially responsible investing (SRI),"Socially responsible investing (SRI), also known as ethical investing, is any investment scenario which takes into consideration investment return and social good, in the aim of social change. There is also a sub category of this called impact investing, which aims to bring about a positive social impact through investing."
Société Générale,"A major banking group that's headquartered in Paris. Retail banking, corporate and investment banking, asset management, financial & security services and private banking are among the services offered by the French company."
SOFIX,"The SOFIX, also known as the BSE Sofia, is the official stock market index for the Bulgarian stock exchange. It was formed on 20th October 2000 with a start value of 100, and it uses the current Bulgarian currency, the Bulgarian lev – abbreviated to BGN."
Sola Access Information Language,"The Sola Access Information Language, often abbreviated to SAIL, is a native communication protocol and the main front end access electronic communication protocol for the Sola Trading platform. It has developed specifically for the platform by Sola Trading – the platform also supports FIX protocol and STAMP protocol."
Solvency cone,"A concept often used in financial mathematics that models financial trades. This model pays particular consideration to the impact of transaction costs while trading financial assets. Specifically, it is a set of positions that can be exchanged into a non-negative portfolio at a certain time after taking bid-ask prices into consideration."
Solvency II Directive 2009,A legal act in European Union Law that summarises and harmonises the EU insurance regulation. The aim of this legislation is to combine the EU insurance market and better consumer protection. An EU passport was established which enables insurers to operate in all fully conditioned member states.
Solvency Ratio,Solvency ratio is a metric that measures a company’s ability to finance its long-term debt obligations. Solvency ratio is an important indicator of an enterprise’s financial health and is used to evaluate a company’s creditworthiness.
Solvent,"Solvency has two distinct but linked meanings, both equally important. The first describes the state in which a company's current assets exceed its current liabilities. The second describes the state in which a company is able to meet its liabilities as they fall due."
Sortino ratio,It's a technique to measure the risk adjusted return on an investment. It's a modification of Sharpe's ratio. It was developed by Frank A. Sortino. This ratio concentrates on bad risk rather than the volatility of a price up and down.
Sovereign,"In the broadest terms, it refers to a body of people (e.g. a government) that has ultimate authority over a state."
Sovereign credit rating,A credit rating specifically given to a country or other sovereign entity.
Sovereign default,"A sovereign default is an event where a sovereign nation fails to pay back its debt. In particular, the term is used when a government refuses to pay either or both the principal or interest on the bonds it has issued to finance its spending due to an economic crisis."
Sovereign investment fund,A sovereign investment fund refers to a type of sovereign wealth fund (SWF). Sovereign investment funds tend to focus purely on investments in foreign companies. This can cause political concerns in the foreign country and led to the U.S. Foreign Investment and National Security Act of 2007.
Sovereign Wealth Fund,"A sovereign wealth fund (SWF) is a state-owned investment fund created by the revenues from commodity exports and transfers of foreign exchange reserves. Rather than let capital sit in the nation’s central bank, the SWF invests it in the global financial markets to return a profit and benefit the economy."
Special Dividend,"When a company makes a one-off payment to shareholders outside of the standard dividend cycle, it is known as a special dividend. They’re normally paid in cash, are greater than the regular dividend payment, and are a result of exceptional performance and profits in a given period."
Special memorandum account (SMA),A special memorandum account (SMA) is a line of credit that an investor in U.S. equities can use to buy more shares on margin. The credit is created when the market value of securities in the investor’s margin account increases in value. Its use is governed by Federal Reserve Board Regulation T.
Special purpose acquisition company (SPAC),"Are you looking for a SPAC meaning? A special purpose acquisition company is an investment vehicle formed expressly with the intention of raising funds to buy a company in a particular industry. The aim is to take the acquired company public, so the SPAC does not have any of its own operations."
Specialized investment fund,A specialised investment fund (SIF) is a Luxembourg domiciled and regulated investment vehicle aimed at sophisticated investors and offering tax efficiency and a light supervisory regime. There are no limitations on the type of assets that can be held in a SIF but it must provide active portfolio management.
Specific risk,"Specific risk, or unsystematic risk, refers to a risk that affects only one company or a group of companies that represent a sector of the stock market. This is as opposed to market, or systematic risk, which affects the market as a whole along with other asset classes."
Spectral risk measure (SRM),"A spectral risk measure (SRM) is a risk measure that is calculated as a weighted average of outcomes, the weights of which depend on the user’s risk aversion. Unlike value at risk (VaR), for example, it is an example of a ‘coherent risk measure’ as described in the field of mathematical finance."
Speculative attack,"A speculative attack occurs in the foreign exchange markets when speculators attack the currency of a country attempting to maintain a fixed, or pegged exchange rate. If the country does not hold enough foreign currency reserves to buy enough of its domestic currency, the attack can result in the peg failing."
Speculative demand,"Speculative demand is a term from Keynesian economics which describes the desire to have money for the purpose of investing in assets. For Keynes, all assets other than money are categorised as ‘bonds’. His other two needs regarding demand for money are precautionary demand and transactions demand."
Speculative grade liquidity,"It’s a rating of a company’s ability to meet its financial obligations that are due over the following 12 months. Also called SGL, the appraisal is issued by credit rating agency Moody's to indicate a firm's liquidity risk and chances of default."
Spin-off,"A spin-off is the creation of a new company from part of an existing one. It's spun off as an independent business in its own right, and shareholders in the original company will usually be given stock in the new entity."
Split Payroll,The split-payroll meaning is especially relevant for employees on international assignments or those located in countries far away from the main office of their employer.
Split share corporation,"It’s a business entity established for the specific purpose of transforming the dividends and capital gains of the shares it owns into streams of revenue for two different groups of investors. To strike the best balance, a split share corporation will usually issue both common and preferred stock to its investors."
Spot,"Looking for a spot definition? Well, in trading terms, a spot price is the market’s current price – the price at which a particular commodity, currency or security can be sold or bought for prompt delivery. Spot prices are always unique to the time and place where they are being held; that said, with the nature of the global economy, spot prices tend to be quite similar worldwide. The spot market is also known as the cash market and is a form of financial market where commodities and financial instruments can be traded for immediate delivery."
Spot contract,"It’s effectively a ‘buy now, pay now’ deal. The contract is for the immediate delivery of a commodity or currency. The settlement is called the spot price, as in 'on the spot', which is how much the asset will change hands for if it’s sold straight away."
Spot date,"This is the day on which the funds involved in a spot transaction are transferred. With a contract to buy or sell a commodity or currency straight away, the spot date is normally two working days after the deal is agreed."
